id,first_name,last_name,country,age,birth_year,height,weight
78936,Leorenz,Capili,USA,32,1988,,
78939,Sunny,Yang,USA,50,1969,,
78942,Brian,zarzuela,USA,23,1997,,
78945,Matthew,Reilly,USA,28,1992,,
78948,Matthew,Lynch,USA,31,1989,,
78954,Justen,Proctor,USA,37,1983,,
78957,Montoo,Baruah,USA,46,1974,,
78972,Kai,Johnson,GBR,17,2002,,
78975,Joaquin,Squella,CHI,19,2000,,
78981,Andrej,Harsany,SVK,35,1984,,
78984,Deepu,Mallesh,IND,22,1998,,
78990,Allison,Whte,USA,32,1988,,
78999,Marta,Peche Salinero,ESP,43,1976,,
72003,Victor,Frey,GER,,,,
72012,Linus,Kabs,GER,16,2004,,
72018,Antonia,Valenzuela,CHI,22,1998,,
72024,Julia,Thietz,GER,30,1989,,
72033,Lukas,Alsfasser,GER,,,,
72036,Emiel,Dobbelaar,GER,,,186 cm,80 kg
72039,Paul,klein,GER,,,,
72045,Daniel ,Krulwich,ISR,28,1992,,
72051,Paula,Friebe,GER,13,2007,,
72054,Leon,Zinke,GER,14,2005,,
72069,Christophe,Lopes Dos Santos,GER,,,,
72072,Karsten,Weber,GER,,,,
72087,Caitlin,Brandon,GER,,,,
72090,Sara,Eitelmann,GER,,,,
72099,Sarah,Zwanzger,GER,,,,
72147,Lina,Berger,GER,12,2008,,
72162,Jonna,Sassenhausen,GER,12,2008,,
72165,Mika,Lieb,GER,13,2007,,
72171,Luisa,Otto,GER,13,2007,,
72177,Jasper,Wintergerst,GER,13,2006,,
72183,Annina,Gerber,SUI,19,2001,,
72186,Yara,Schwarz,SUI,15,2005,,
72192,Chiara,Haene,SUI,15,2005,,
72195,Carl,Hupfer ,SUI,16,2003,,
72198,Joel,Kleger,SUI,14,2006,,
72201,Tilda,Stiehler,SUI,11,2008,,
72210,Ella,Gabathuler,SUI,18,2002,,
72213,Sophia,Neumann,GER,13,2006,,
72225,Gabby ,Lampner,USA,19,2001,,
72228,Anna ,Kelly,USA,22,1997,,
72231,Daniel,Beall,USA,31,1989,,
72234,Keenan,Takahashi,USA,29,1991,,
72240,Emma,Ritzer,GER,10,2009,,
72243,Fritz,von Berg,GER,11,2009,,
72246,Mathilde,Pretzschner,GER,9,2011,,
72249,John Joseph,VELORIA,PHI,27,1992,,
72252,Glenn,Lominoque,PHI,33,1986,,
72255,Angela,Buendia,PHI,26,1993,,
72258,Juvelle,Pua,PHI,31,1989,,
72270,Niccolò,DiTommaso,ITA,17,2003,,
