,ID,Rank,Last Name,First Name,Points,Event,Gender,Year
2,5983,3,KIM,Jain,354.0,lead,WOMEN,2018
3,9756,4,Hily,Manon,238.0,lead,WOMEN,2018
4,10620,5,Kotake,Mei,228.0,lead,WOMEN,2018
5,10826,6,Kalan,Tjasa,224.0,lead,WOMEN,2018
6,10385,7,Schubert,Hannah,219.0,lead,WOMEN,2018
7,5169,8,Markovic,Mina,214.0,lead,WOMEN,2018
8,6326,9,Noguchi,Akiyo,214.0,lead,WOMEN,2018
9,13209,10,Krampl,Mia,211.0,lead,WOMEN,2018
10,9867,11,Verhoeven,Anak,181.0,lead,WOMEN,2018
11,8896,12,Posch,Katharina,174.0,lead,WOMEN,2018
12,13960,13,Shiraishi,Ashima,159.0,lead,WOMEN,2018
13,5629,14,Schranz,Christine,141.0,lead,WOMEN,2018
14,9731,15,Onoe,Aya,131.0,lead,WOMEN,2018
15,12597,16,Lukan,Vita,124.0,lead,WOMEN,2018
16,9077,17,Janicot,Hélène,106.0,lead,WOMEN,2018
17,9239,18,Hafsaas,Tina Johnsen,105.0,lead,WOMEN,2018
18,10888,19,Fiser,Julia,101.0,lead,WOMEN,2018
19,9979,20,Koller,Anne-Sophie,100.0,lead,WOMEN,2018
20,61372,21,Hirano,Natsumi,89.0,lead,WOMEN,2018
21,11809,22,Doumont,Heloïse,82.0,lead,WOMEN,2018
22,12039,23,Nonaka,Miho,80.0,lead,WOMEN,2018
23,60150,24,Ito,Futaba,75.0,lead,WOMEN,2018
24,11375,25,Buhrfeind,Claire,69.0,lead,WOMEN,2018
25,6457,26,Choong,Katherine,55.0,lead,WOMEN,2018
26,9984,27,Chanourdie,Julia,52.0,lead,WOMEN,2018
27,9956,28,Kazbekova,Ievgeniia,51.0,lead,WOMEN,2018
28,13224,29,Arc,Nolwenn,48.0,lead,WOMEN,2018
29,9985,30,Romain,Salomé,45.0,lead,WOMEN,2018
30,11397,31,Tajima,Aika,40.0,lead,WOMEN,2018
31,61380,32,Kurita,Miu,39.0,lead,WOMEN,2018
32,9989,33,Gibert,Fanny,38.0,lead,WOMEN,2018
33,13189,34,Rogora,Laura,37.0,lead,WOMEN,2018
34,10338,35,Gejo,Stasa,35.0,lead,WOMEN,2018
