,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
75,74,Sakakibara,Yuko,JPN,7.00,28. 3.00,,,,,,27. 4.00,,,,2003,lead,WOMEN,5360
76,74,Tan,"Li Ying, Suzanna",SGP,7.00,,24. 7.00,,,,,,,,,2003,lead,WOMEN,5754
77,78,Aguirre,Leire,ESP,6.00,,,,,,,25. 6.00,,,,2003,lead,WOMEN,1202
78,78,Santelj,Polona,SLO,6.00,,,25. 6.00,,,,,,,,2003,lead,WOMEN,3483
79,78,Teso,Emeline,FRA,6.00,,,,25. 6.00,,,,,,,2003,lead,WOMEN,3486
80,81,Liu,Gui-Ying,CHN,5.00,,26. 5.00,,,,,,,,,2003,lead,WOMEN,5414
81,81,Powell,Jemma,GBR,5.00,26. 5.00,,,,,,,,,,2003,lead,WOMEN,5167
82,83,Harnisch,Martina,AUT,4.00,,,27. 4.00,,,,,,,,2003,lead,WOMEN,5631
83,83,Largeron,Marine,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,WOMEN,5173
84,83,Mathieu,Claire,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,WOMEN,1059
85,83,Neliwati,Evi,INA,4.00,,27. 4.00,,,,,,,,,2003,lead,WOMEN,4954
86,83,Robles,Kristine Marie,PHI,4.00,,27. 4.00,,,,,,,,,2003,lead,WOMEN,6399
87,88,Hernandez,Raquel,ESP,3.00,,,,,,,28. 3.00,,,,2003,lead,WOMEN,5712
88,88,Moosburger,Miriam,AUT,3.00,,,,,,,,,,28. 3.00,2003,lead,WOMEN,3138
89,90,Hwang,Mi-Hyung,KOR,2.00,,29. 2.00,,,,,,,,,2003,lead,WOMEN,6400
90,90,Kim,Hyun-Jung,KOR,2.00,29. 2.00,,,,,,,,,,2003,lead,WOMEN,1143
91,90,Kimura,Rie,JPN,2.00,,,,,,,,29. 2.00,,,2003,lead,WOMEN,1327
